# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 48K of event 'cycles'
# Event count (approx.): 123776222208
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.04%            17  redis-server     [mlx5_core]       [k] 0x000000000004d4d4
     0.04%            18  redis-server     [kernel.vmlinux]  [k] _raw_spin_unlock_bh
     0.04%            17  redis-server     [kernel.vmlinux]  [k] netdev_core_pick_tx
     0.04%            17  redis-server     [kernel.vmlinux]  [k] ktime_get_coarse_real_ts64
     0.04%            17  redis-server     [kernel.vmlinux]  [k] update_min_vruntime
     0.03%            17  redis-server     [kernel.vmlinux]  [k] tcp_schedule_loss_probe.part.0
     0.03%            17  redis-server     [kernel.vmlinux]  [k] tcp_v4_send_check
     0.03%            17  redis-server     [kernel.vmlinux]  [k] __tasklet_schedule_common
     0.03%            17  redis-server     [kernel.vmlinux]  [k] update_irq_load_avg
     0.03%            17  redis-server     [kernel.vmlinux]  [k] do_raw_write_unlock
     0.03%            16  redis-server     [mlx5_core]       [k] 0x000000000004dbdb
     0.03%            17  redis-server     [kernel.vmlinux]  [k] napi_gro_complete.constprop.0
     0.03%            17  redis-server     [kernel.vmlinux]  [k] __fib_validate_source
     0.03%            16  redis-server     [kernel.vmlinux]  [k] dequeue_skb
     0.03%            16  redis-server     redis-server      [.] siphash_nocase
     0.03%            17  redis-server     [kernel.vmlinux]  [k] skb_network_protocol
     0.03%            17  redis-server     libc.so.6         [.] clock_gettime@@GLIBC_2.17
     0.03%            16  redis-server     [kernel.vmlinux]  [k] reweight_entity
     0.03%            16  redis-server     [kernel.vmlinux]  [k] tcp_current_mss
     0.03%            16  redis-server     redis-server      [.] dictSdsKeyCompare
     0.03%            16  redis-server     [kernel.vmlinux]  [k] fpregs_assert_state_consistent
     0.03%            16  redis-server     [kernel.vmlinux]  [k] tcp_options_write.constprop.0
     0.03%            16  redis-server     [kernel.vmlinux]  [k] lock_sock_nested
     0.03%            16  redis-server     [mlx5_core]       [k] 0x000000000005409a
     0.03%            15  redis-server     [mlx5_core]       [k] 0x000000000004ff16
     0.03%            14  redis-server     [kernel.vmlinux]  [k] avg_vruntime
     0.03%            16  redis-server     [kernel.vmlinux]  [k] cubictcp_cwnd_event
     0.03%            16  redis-server     [kernel.vmlinux]  [k] hrtimer_try_to_cancel
     0.03%            15  redis-server     [kernel.vmlinux]  [k] kmemleak_alloc
     0.03%            15  redis-server     [kernel.vmlinux]  [k] update_blocked_averages
     0.03%            15  redis-server     [kernel.vmlinux]  [k] inet_recvmsg
     0.03%            15  redis-server     [kernel.vmlinux]  [k] page_pool_put_unrefed_page
     0.03%            15  redis-server     [kernel.vmlinux]  [k] ip_sublist_rcv_finish
     0.03%            14  redis-server     [mlx5_core]       [k] 0x00000000000538c1
     0.03%            15  redis-server     [nf_conntrack]    [k] __nf_ct_refresh_acct
     0.03%            14  redis-server     redis-server      [.] createEmbeddedStringObject
     0.03%            15  redis-server     [kernel.vmlinux]  [k] __inet_lookup_skb
     0.03%            14  redis-server     [kernel.vmlinux]  [k] tcp_release_cb
     0.03%            14  redis-server     [kernel.vmlinux]  [k] error_entry
     0.03%            13  redis-server     [mlx5_core]       [k] 0x000000000004d0f2
     0.03%            14  redis-server     [kernel.vmlinux]  [k] do_epoll_wait
     0.03%            14  redis-server     [kernel.vmlinux]  [k] __get_user_8
     0.03%            14  redis-server     redis-server      [.] setGenericCommand
     0.03%            14  redis-server     [kernel.vmlinux]  [k] __memcg_slab_free_hook
     0.03%            14  redis-server     [kernel.vmlinux]  [k] ip_list_rcv
     0.03%            13  redis-server     [kernel.vmlinux]  [k] simple_copy_to_iter
     0.03%            14  redis-server     [mlx5_core]       [k] 0x000000000000ca34
     0.03%            14  redis-server     [nf_conntrack]    [k] nf_conntrack_handle_packet
     0.03%            14  redis-server     [kernel.vmlinux]  [k] nf_ip_checksum
     0.03%            14  redis-server     [kernel.vmlinux]  [k] napi_gro_flush
     0.03%            12  redis-server     [kernel.vmlinux]  [k] select_task_rq
     0.03%            14  redis-server     [kernel.vmlinux]  [k] inet_ehashfn
     0.03%            14  redis-server     [kernel.vmlinux]  [k] napi_skb_cache_put
     0.03%            14  redis-server     [kernel.vmlinux]  [k] ipv4_dst_check
     0.03%            13  redis-server     [kernel.vmlinux]  [k] __sk_dst_check
