# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44K of event 'cycles'
# Event count (approx.): 98282321717
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.05%            22  redis-server     [kernel.vmlinux]  [k] ip_list_rcv
     0.05%            23  redis-server     [kernel.vmlinux]  [k] netdev_core_pick_tx
     0.05%            23  redis-server     [mlx5_core]       [k] mlx5e_poll_ico_cq
     0.05%            23  redis-server     [kernel.vmlinux]  [k] lock_sock_nested
     0.05%            23  redis-server     redis-server      [.] lookupKey
     0.05%            23  redis-server     [kernel.vmlinux]  [k] syscall_return_via_sysret
     0.05%            21  redis-server     [mlx5_core]       [k] mlx5e_tx_mpwqe_session_complete
     0.05%            22  redis-server     [kernel.vmlinux]  [k] nf_conntrack_put
     0.05%            22  redis-server     [kernel.vmlinux]  [k] kmalloc_reserve
     0.05%            21  redis-server     [mlx5_core]       [k] mlx5e_select_queue
     0.05%            22  redis-server     [kernel.vmlinux]  [k] update_irq_load_avg
     0.05%            25  redis-server     [kernel.vmlinux]  [k] __intel_pmu_enable_all.constprop.0
     0.05%            22  redis-server     [kernel.vmlinux]  [k] release_sock
     0.05%            21  redis-server     [kernel.vmlinux]  [k] tcp_schedule_loss_probe.part.0
     0.05%            22  redis-server     redis-server      [.] dictSdsKeyCompare
     0.05%            20  redis-server     [kernel.vmlinux]  [k] irqtime_account_irq
     0.05%            21  redis-server     [nf_defrag_ipv4]  [k] ipv4_conntrack_defrag
     0.05%            20  redis-server     [kernel.vmlinux]  [k] __do_softirq
     0.05%            20  redis-server     [kernel.vmlinux]  [k] dma_unmap_page_attrs
     0.05%            21  redis-server     [kernel.vmlinux]  [k] syscall_exit_work
     0.04%            19  redis-server     [kernel.vmlinux]  [k] __fib_validate_source
     0.04%            19  redis-server     [kernel.vmlinux]  [k] _raw_write_lock_irq
     0.04%            19  redis-server     redis-server      [.] sdsfree
     0.04%            17  redis-server     [kernel.vmlinux]  [k] tcp_urg
     0.04%            18  redis-server     [mlx5_core]       [k] mlx5e_napi_poll
     0.04%            18  redis-server     [kernel.vmlinux]  [k] schedule_hrtimeout_range_clock
     0.04%            19  redis-server     [mlx5_core]       [k] mlx5e_txwqe_build_dsegs
     0.04%            17  redis-server     [kernel.vmlinux]  [k] page_counter_try_charge
     0.04%            17  redis-server     [kernel.vmlinux]  [k] avg_vruntime
     0.04%            16  redis-server     [kernel.vmlinux]  [k] skb_push
     0.04%            18  redis-server     [nf_conntrack]    [k] __nf_ct_refresh_acct
     0.04%            18  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock
     0.04%            17  redis-server     [kernel.vmlinux]  [k] _raw_spin_unlock_bh
     0.04%            18  redis-server     [mlx5_core]       [k] mlx5e_skb_csum_fixup
     0.04%            18  redis-server     redis-server      [.] sdssubstr
     0.04%            17  redis-server     [kernel.vmlinux]  [k] sk_forced_mem_schedule
     0.04%            17  redis-server     [kernel.vmlinux]  [k] ktime_get_coarse_real_ts64
     0.04%            18  redis-server     redis-server      [.] resetClient
     0.04%            17  redis-server     [kernel.vmlinux]  [k] tcp_grow_window
     0.04%            17  redis-server     [kernel.vmlinux]  [k] sock_recvmsg
     0.04%            17  redis-server     [kernel.vmlinux]  [k] __get_user_8
     0.04%            17  redis-server     [kernel.vmlinux]  [k] skb_try_coalesce
     0.04%            17  redis-server     redis-server      [.] handleClientsWithPendingWritesUsingThreads
     0.04%            17  redis-server     [kernel.vmlinux]  [k] inet_recvmsg
     0.04%            16  redis-server     libc.so.6         [.] __strchr_evex
     0.04%            17  redis-server     [mlx5_core]       [k] mlx5e_txwqe_complete
     0.04%            16  redis-server     [kernel.vmlinux]  [k] __calc_delta.constprop.0
     0.04%            16  redis-server     redis-server      [.] sdsMakeRoomFor
     0.04%            15  redis-server     [kernel.vmlinux]  [k] tcp_v4_do_rcv
     0.04%            16  redis-server     [kernel.vmlinux]  [k] load_balance
     0.04%            17  redis-server     [kernel.vmlinux]  [k] napi_gro_complete.constprop.0
     0.04%            16  redis-server     [mlx5_core]       [k] mlx5e_features_check
     0.04%            16  redis-server     [kernel.vmlinux]  [k] napi_skb_cache_put
     0.04%            15  redis-server     [kernel.vmlinux]  [k] napi_complete_done
     0.04%            17  redis-server     [kernel.vmlinux]  [k] __audit_syscall_exit
     0.04%            16  redis-server     [kernel.vmlinux]  [k] __put_user_8
     0.04%            16  redis-server     [kernel.vmlinux]  [k] build_detached_freelist
     0.04%            16  redis-server     [kernel.vmlinux]  [k] __radix_tree_lookup
     0.04%            16  redis-server     redis-server      [.] activeExpireCycle
     0.03%            15  redis-server     [kernel.vmlinux]  [k] __napi_schedule
     0.03%            16  redis-server     [mlx5_core]       [k] mlx5e_tx_wi_dma_unmap
     0.03%            16  redis-server     [kernel.vmlinux]  [k] schedule
     0.03%            15  redis-server     [kernel.vmlinux]  [k] dma_sync_single_for_device
     0.03%            15  redis-server     [kernel.vmlinux]  [k] ip_local_deliver
     0.03%            15  redis-server     [kernel.vmlinux]  [k] ipv4_dst_check
     0.03%            15  redis-server     libc.so.6         [.] __memcmp_evex_movbe
     0.03%            15  redis-server     [kernel.vmlinux]  [k] __module_address.part.0
     0.03%            14  redis-server     [kernel.vmlinux]  [k] simple_copy_to_iter
     0.03%            14  redis-server     redis-server      [.] dictSdsHash
     0.03%            14  redis-server     [kernel.vmlinux]  [k] switch_fpu_return
     0.03%            14  redis-server     [kernel.vmlinux]  [k] __inet_lookup_skb
     0.03%            15  redis-server     [kernel.vmlinux]  [k] fib_lookup_good_nhc
     0.03%            15  redis-server     [kernel.vmlinux]  [k] page_pool_put_unrefed_page
     0.03%            14  redis-server     [nf_conntrack]    [k] nf_conntrack_handle_packet
     0.03%            15  redis-server     [kernel.vmlinux]  [k] tcp_wfree
     0.03%            15  redis-server     [kernel.vmlinux]  [k] tcp_current_mss
     0.03%            14  redis-server     [kernel.vmlinux]  [k] kmemleak_free
     0.03%            15  redis-server     [kernel.vmlinux]  [k] __tasklet_schedule_common
     0.03%            14  redis-server     [kernel.vmlinux]  [k] tcp_data_ready
     0.03%            13  redis-server     [kernel.vmlinux]  [k] __hrtimer_start_range_ns
     0.03%            13  redis-server     libc.so.6         [.] pthread_mutex_trylock@@GLIBC_2.34
     0.03%            14  redis-server     [kernel.vmlinux]  [k] tcp_rate_skb_delivered
     0.03%            13  redis-server     [kernel.vmlinux]  [k] vfs_write
     0.03%            12  redis-server     redis-server      [.] sdsResize
     0.03%            12  redis-server     [kernel.vmlinux]  [k] put_cpu_partial
     0.03%            14  redis-server     [kernel.vmlinux]  [k] sock_write_iter
     0.03%            13  redis-server     [kernel.vmlinux]  [k] cubictcp_cwnd_event
     0.03%            14  redis-server     [kernel.vmlinux]  [k] ksys_write
     0.03%            13  redis-server     [kernel.vmlinux]  [k] __update_blocked_fair
     0.03%            12  redis-server     [kernel.vmlinux]  [k] update_blocked_averages
     0.03%            13  redis-server     [kernel.vmlinux]  [k] reweight_entity
     0.03%            13  redis-server     [kernel.vmlinux]  [k] asm_common_interrupt
     0.03%            13  redis-server     [kernel.vmlinux]  [k] __tcp_ack_snd_check
     0.03%            13  redis-server     [kernel.vmlinux]  [k] should_we_balance
     0.03%            13  redis-server     libc.so.6         [.] __GI___pthread_enable_asynccancel
     0.03%            13  redis-server     [kernel.vmlinux]  [k] hrtick_update
     0.03%            13  redis-server     [kernel.vmlinux]  [k] napi_skb_cache_get
     0.03%            13  redis-server     [kernel.vmlinux]  [k] rw_verify_area
     0.03%            12  redis-server     [kernel.vmlinux]  [k] sched_clock
     0.03%            12  redis-server     [kernel.vmlinux]  [k] eth_type_trans
     0.03%            12  redis-server     redis-server      [.] listDelNode
     0.03%            12  redis-server     [kernel.vmlinux]  [k] ip_local_deliver_finish
