# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cycles'
# Event count (approx.): 84431220089
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.04%            16  redis-server     [kernel.vmlinux]  [k] task_mm_cid_work
     0.04%            19  redis-server     redis-server      [.] createEmbeddedStringObject
     0.04%            17  redis-server     [kernel.vmlinux]  [k] tcp_options_write.constprop.0
     0.04%            16  redis-server     libc.so.6         [.] __GI___pthread_enable_asynccancel
     0.04%            18  redis-server     [nf_conntrack]    [k] get_l4proto
     0.04%            18  redis-server     [nf_defrag_ipv4]  [k] ipv4_conntrack_defrag
     0.04%            17  redis-server     redis-server      [.] siphash_nocase
     0.04%            16  redis-server     [nf_conntrack]    [k] __nf_ct_refresh_acct
     0.04%            16  redis-server     [kernel.vmlinux]  [k] ip_finish_output
     0.04%            17  redis-server     [kernel.vmlinux]  [k] ip_list_rcv
     0.04%            16  redis-server     [kernel.vmlinux]  [k] __inet_lookup_skb
     0.04%            16  redis-server     [kernel.vmlinux]  [k] sched_clock_cpu
     0.04%            16  redis-server     [kernel.vmlinux]  [k] fpregs_assert_state_consistent
     0.04%            15  redis-server     [kernel.vmlinux]  [k] tcp_v4_send_check
     0.04%            15  redis-server     [kernel.vmlinux]  [k] build_detached_freelist
     0.04%            15  redis-server     [kernel.vmlinux]  [k] update_sd_pick_busiest
     0.04%            14  redis-server     [kernel.vmlinux]  [k] lock_timer_base
     0.04%            15  redis-server     [kernel.vmlinux]  [k] __do_softirq
     0.04%            15  redis-server     [kernel.vmlinux]  [k] put_prev_task_fair
     0.04%            14  redis-server     [kernel.vmlinux]  [k] dma_unmap_page_attrs
     0.04%            14  redis-server     [kernel.vmlinux]  [k] tcp_try_rmem_schedule
     0.04%            15  redis-server     [kernel.vmlinux]  [k] ip_route_use_hint
     0.04%            16  redis-server     [kernel.vmlinux]  [k] reweight_entity
     0.04%            14  redis-server     [kernel.vmlinux]  [k] rw_verify_area
     0.04%            13  redis-server     libc.so.6         [.] clock_gettime@@GLIBC_2.17
     0.04%            14  redis-server     [kernel.vmlinux]  [k] napi_skb_cache_put
     0.04%            15  redis-server     [kernel.vmlinux]  [k] inet_recvmsg
     0.04%            15  redis-server     redis-server      [.] sdsrange
     0.04%            14  redis-server     [kernel.vmlinux]  [k] __tasklet_schedule_common
     0.03%            13  redis-server     [kernel.vmlinux]  [k] __audit_syscall_exit
     0.03%            13  redis-server     [kernel.vmlinux]  [k] ip_protocol_deliver_rcu
     0.03%            14  redis-server     [kernel.vmlinux]  [k] pick_next_task_fair
     0.03%            14  redis-server     [mlx5_core]       [k] 0x000000000004d981
     0.03%            14  redis-server     [kernel.vmlinux]  [k] tcp_grow_window
     0.03%            14  redis-server     [kernel.vmlinux]  [k] cubictcp_cwnd_event
     0.03%            13  redis-server     [kernel.vmlinux]  [k] tcp_tso_segs
     0.03%            14  redis-server     [kernel.vmlinux]  [k] skb_copy_datagram_iter
     0.03%            13  redis-server     [mlx5_core]       [k] 0x000000000000cadf
     0.03%            13  redis-server     [kernel.vmlinux]  [k] skb_try_coalesce
     0.03%            13  redis-server     [kernel.vmlinux]  [k] tcp_update_pacing_rate
     0.03%            12  redis-server     [kernel.vmlinux]  [k] vfs_write
     0.03%            13  redis-server     [mlx5_core]       [k] 0x000000000004db53
     0.03%            12  redis-server     [kernel.vmlinux]  [k] security_socket_recvmsg
     0.03%            11  redis-server     redis-server      [.] 0x0000000000181711
     0.03%            12  redis-server     [kernel.vmlinux]  [k] update_rt_rq_load_avg
     0.03%            12  redis-server     [kernel.vmlinux]  [k] dma_sync_single_for_device
     0.03%            12  redis-server     [kernel.vmlinux]  [k] __update_blocked_fair
